question,query,answer,db_answer
How many albums are there?,SELECT COUNT(*) FROM album,347,347
How many distinct genres are there?,SELECT COUNT(DISTINCT genre_id) FROM track,25,25
How many tracks are in the 'Rock' genre?,SELECT COUNT(*) FROM track t JOIN genre g ON t.genre_id = g.genre_id WHERE g.name = 'Rock',1297,1297
What is the total number of invoice lines?,SELECT COUNT(*) FROM invoice_line,2240,2240
How many customers are from the USA?,SELECT COUNT(*) FROM customer WHERE country = 'USA',13,13
What is the highest employee ID?,SELECT MAX(employee_id) FROM employee,8,8
How many tracks have a length greater than 5 minutes (300000 milliseconds)?,SELECT COUNT(*) FROM track WHERE milliseconds > 300000,2741,1069
What is the total number of bytes for all tracks?,SELECT SUM(bytes) FROM track,339126316,117386255350
How many customers have a company name specified?,SELECT COUNT(*) FROM customer WHERE company IS NOT NULL,49,10
How many tracks cost more than $1?,SELECT COUNT(*) FROM track WHERE unit_price > 1,213,213
What is the total number of seconds for all tracks?,SELECT ROUND(SUM(milliseconds) / 1000) FROM track,1378575,1378778
How many invoices were created in 2021?,SELECT COUNT(*) FROM invoice WHERE EXTRACT(YEAR FROM invoice_date)  = '2021',83,83
What is the number of customers who have made purchases totaling over $40?,SELECT COUNT(*) FROM (SELECT customer_id FROM invoice GROUP BY customer_id HAVING SUM(total) > 40),56,14
How many artists have more than 10 albums?,SELECT COUNT(*) FROM (SELECT artist_id FROM album GROUP BY artist_id HAVING COUNT(*) > 10),8,3
What is the total number of tracks in playlists that have 'Rock' in their name?,SELECT COUNT(DISTINCT pt.track_id) FROM playlist_track pt JOIN playlist p ON pt.playlist_id = p.playlist_id WHERE p.name LIKE '%Rock%',1297,0
How many customers have made purchases in all years the store has been operating?,SELECT COUNT(*) FROM (SELECT customer_id FROM invoice GROUP BY customer_id HAVING COUNT(DISTINCT EXTRACT(YEAR FROM invoice_date)) = (SELECT COUNT(DISTINCT EXTRACT(YEAR FROM invoice_date)) FROM invoice)),13,9
What is the number of customers who have purchased tracks from all genres?,SELECT COUNT(*) FROM (SELECT customer_id FROM invoice i JOIN invoice_line il ON i.invoice_id = il.invoice_id JOIN track t ON il.track_id = t.track_id GROUP BY i.customer_id HAVING COUNT(DISTINCT t.genre_id) = (SELECT COUNT(*) FROM genre)),2,0
How many albums have all their tracks in a single genre?,SELECT COUNT(*) FROM (SELECT album_id FROM track GROUP BY album_id HAVING COUNT(DISTINCT genre_id) = 1),312,336
What is the number of customers who have spent more in 2011 than in 2010?,"SELECT COUNT(*) FROM (SELECT customer_id FROM (SELECT customer_id, EXTRACT(YEAR FROM invoice_date) as year, SUM(total) as yearly_total FROM invoice WHERE EXTRACT(YEAR FROM invoice_date) IN ('2010', '2011') GROUP BY customer_id, year) pivot GROUP BY customer_id HAVING MAX(CASE WHEN year = '2011' THEN yearly_total ELSE 0 END) > MAX(CASE WHEN year = '2010' THEN yearly_total ELSE 0 END))",35,0
How many tracks appear in more playlists than the average track?,SELECT COUNT(*) FROM (SELECT track_id FROM playlist_track GROUP BY track_id HAVING COUNT(*) > (SELECT AVG(playlist_count) FROM (SELECT COUNT(*) as playlist_count FROM playlist_track GROUP BY track_id))),415,1557
What is the number of artists who have tracks in more genres than the average artist?,SELECT COUNT(*) FROM (SELECT artist_id FROM album a JOIN track t ON a.album_id = t.album_id GROUP BY artist_id HAVING COUNT(DISTINCT genre_id) > (SELECT AVG(genre_count) FROM (SELECT COUNT(DISTINCT genre_id) as genre_count FROM album a JOIN track t ON a.album_id = t.album_id GROUP BY a.artist_id))),58,21
What is the total number of 'Rock' tracks that are longer than the average 'Jazz' track?,SELECT COUNT(*) FROM track t JOIN genre g ON t.genre_id = g.genre_id WHERE g.name = 'Rock' AND t.milliseconds > (SELECT AVG(milliseconds) FROM track t JOIN genre g ON t.genre_id = g.genre_id WHERE g.name = 'Jazz'),1084,460
What is the number of tracks that have a longer duration than the average duration of tracks in their genre?,SELECT COUNT(*) FROM track t WHERE milliseconds > (SELECT AVG(milliseconds) FROM track t2 WHERE t2.genre_id = t.genre_id),1678,1539
How many employees have sold to customers from all countries represented in the customer base?,SELECT COUNT(*) FROM (SELECT e.employee_id FROM employee e JOIN customer c ON e.employee_id = c.support_rep_id GROUP BY e.employee_id HAVING COUNT(DISTINCT c.country) = (SELECT COUNT(DISTINCT country) FROM customer)),3,0
