query,llama3.1,llama3,mistral,mistral-nemo,phi3,gemma2,zephyr,qwen2,llava,codellama,codegemma,codeqwen,dolphincoder,sqlcoder,deepseek-coder-v2,stable-code,starcoder2,wizardcoder
How many albums are there?,,SELECT COUNT(*) FROM album;,SELECT COUNT(*) FROM album;,SELECT COUNT(*) FROM album;,SELECT COUNT(*) FROM album;,,"SELECT COUNT(DISTINCT a.album_id) AS num_albums, ar.name AS artist_name
         FROM album a
         JOIN artist ar ON a.artist_id = ar.artist_id
         GROUP BY ar.name
         ORDER BY num_albums DESC
         LIMIT 1;",,SELECT COUNT(*) FROM album;,"SELECT COUNT(*) as album_count
FROM album;",,SELECT COUNT(*) FROM album,,SELECT COUNT(*) FROM album;,,,,
How many distinct genres are there?,SELECT COUNT(DISTINCT name) FROM genre,SELECT COUNT(DISTINCT genre_id) FROM genre;,SELECT COUNT(DISTINCT genre_id) as number_of_distinct_genres FROM genre;,SELECT COUNT(DISTINCT genre_id) FROM track;,SELECT COUNT(DISTINCT genre_id) FROM genre;,SELECT COUNT(DISTINCT genre_id) FROM track;,,,,SELECT DISTINCT name FROM genre;,SELECT COUNT(DISTINCT genre_id) FROM genre;,SELECT COUNT(DISTINCT name) FROM genre;,,SELECT COUNT(DISTINCT genre_id) FROM track;,,,,
How many tracks are in the 'Rock' genre?,,SELECT COUNT(*) FROM track t JOIN genre g ON t.genre_id = g.genre_id WHERE g.name = 'Rock';,SELECT COUNT(*) FROM track WHERE genre_id = (SELECT genre_id FROM genre WHERE name = 'Rock');,"SELECT COUNT(*)
FROM track
INNER JOIN genre ON track.genre_id = genre.genre_id
WHERE LOWER(genre.name) = 'rock';",SELECT COUNT(*) FROM track JOIN genre ON track.genre_id = genre.genre_id WHERE genre.name = 'Rock';,SELECT COUNT(*) FROM track WHERE genre_id = (SELECT genre_id FROM genre WHERE name = 'Rock');,"SELECT COUNT(track_id) AS track_count
FROM track
JOIN genre ON track.genre_id = genre.genre_id
WHERE genre.name = 'Rock';",,,SELECT COUNT(*) AS num_tracks FROM track WHERE genre_id = (SELECT genre_id FROM genre WHERE name = 'Rock');,,SELECT COUNT(*) FROM track JOIN genre ON track.genre_id = genre.genre_id WHERE genre.name = 'Rock';,,,,,,SELECT COUNT(*) FROM track WHERE genre_id = (SELECT genre_id FROM genre WHERE name = 'Rock');
What is the total number of invoice lines?,SELECT COUNT(invoice_line_id) FROM invoice_line;,SELECT COUNT(*) AS total_invoice_lines FROM invoice_line;,SELECT COUNT(invoice_line_id) FROM invoice_line;,SELECT COUNT(*) FROM invoice_line;,SELECT COUNT(*) FROM invoice_line;,SELECT COUNT(*) FROM invoice_line;,,,,"SELECT COUNT(*) as ""Number of Invoice Lines""
FROM invoice_line;",,,"SELECT COUNT(*) as ""Number of Invoice Lines""
FROM invoice_line;",SELECT COUNT(*) AS total_invoice_lines FROM invoice_line;,,,,
How many customers are from the USA?,SELECT COUNT(customer_id) FROM customer WHERE country = 'USA';,SELECT COUNT(*) FROM customer WHERE state = 'USA';,"SELECT COUNT(customer.customer_id) AS total_customers
   FROM customer
   WHERE country = 'USA';","SELECT COUNT(*)
FROM customer
WHERE country = 'USA';",SELECT COUNT(*) FROM customer WHERE country = 'USA',SELECT COUNT(*) FROM customer WHERE country = 'USA';,"SELECT COUNT(*) as customer_count
FROM customer
WHERE country = 'USA';",,,"SELECT COUNT(*) AS number_of_customers_from_usa
FROM customer
WHERE country = 'USA';",SELECT COUNT(*) FROM customer WHERE country = 'USA';,SELECT count(*) FROM customer WHERE country = 'USA',,SELECT COUNT(*) FROM customer WHERE country = 'USA',,,,
What is the highest employee ID?,SELECT MAX(employee_id) FROM employee,SELECT MAX(employee_id) FROM employee;,SELECT MAX(employee.employee_id) AS max_emp_id FROM employee;,,SELECT MAX(employee_id) AS HighestEmployeeID FROM employee;,SELECT MAX(employee_id) FROM employee;,,,,"SELECT MAX(employee_id) as ""Highest Employee ID""
FROM employee;",SELECT employee_id FROM employee ORDER BY employee_id DESC LIMIT 1;,SELECT MAX(employee_id) FROM employee;,,SELECT MAX(employee_id) FROM employee;,,,,SELECT MAX(employee_id) FROM employee;
How many tracks have a length greater than 5 minutes (300000 milliseconds)?,,"SELECT COUNT(*) 
FROM track 
WHERE milliseconds > 300000;",SELECT COUNT(*) FROM track WHERE milliseconds > 300000;,"SELECT COUNT(*)
FROM track
WHERE milliseconds > 300000;",SELECT COUNT(*) FROM track WHERE milliseconds > 300000;,SELECT COUNT(*) FROM track WHERE milliseconds > 300000;,,,,"SELECT COUNT(*)
FROM track
WHERE milliseconds > 300000;",,SELECT COUNT(*) FROM track WHERE milliseconds > 300000;,"SELECT COUNT(*) AS ""tracks"" 
FROM track 
WHERE milliseconds > 300000;","SELECT c.customer_id, COUNT(i.invoice_id) AS num_invoices FROM customer c JOIN invoice i ON c.customer_id = i.customer_id GROUP BY c.customer_id ORDER BY num_invoices DESC;",,,,SELECT COUNT(track_id) FROM track WHERE milliseconds > 30000;
What is the total number of bytes for all tracks?,SELECT SUM(bytes) FROM track,SELECT SUM(bytes) FROM track;,SELECT SUM(bytes) FROM track;,SELECT SUM(bytes) AS total_bytes FROM track;,SELECT COUNT(*) FROM track;,SELECT SUM(bytes) FROM track;,,,SELECT SUM(bytes) FROM track;,"SELECT SUM(bytes) AS total_bytes
FROM track;",,,,SELECT SUM(track.bytes) AS total_bytes FROM track;,,,,SELECT SUM(bytes) AS total_bytes FROM track;
How many customers have a company name specified?,SELECT COUNT(customer_id) FROM customer WHERE company IS NOT NULL,SELECT COUNT(*) FROM customer WHERE company IS NOT NULL;,"SELECT COUNT(customer.customer_id) as total_customers
   FROM customer;",SELECT COUNT(*) FROM customer WHERE company IS NOT NULL;,SELECT COUNT(*) FROM customer WHERE company IS NOT NULL;,SELECT COUNT(*) FROM customer WHERE company IS NOT NULL;,,,,"SELECT COUNT(*) AS num_customers
FROM customer
WHERE company IS NOT NULL;",SELECT COUNT(*) FROM customer WHERE company IS NOT NULL;,SELECT COUNT(*) FROM customer WHERE company IS NOT NULL AND company != '',,SELECT COUNT(*) FROM customer WHERE company IS NOT NULL;,,,,"SELECT COUNT(*) as num_customers_with_company, customer.company FROM customer WHERE customer.company IS NOT NULL GROUP BY customer.company;"
How many tracks cost more than $1?,,SELECT COUNT(*) FROM track WHERE unit_price > 1;,,SELECT COUNT(*) FROM track WHERE unit_price > 1;,SELECT COUNT(*) FROM track WHERE unit_price > 1;,SELECT COUNT(*) FROM track WHERE unit_price > 1;,"SELECT COUNT(*)
FROM track
WHERE unit_price > 1;",,,"SELECT COUNT(*) AS num_tracks
FROM track
WHERE unit_price > 1;",,,SELECT COUNT(*) FROM track WHERE unit_price >= 1;,SELECT COUNT(*) FROM track WHERE unit_price > 1;,,,,SELECT COUNT(track_id) AS num_tracks FROM track WHERE unit_price > 1;
